tanggal,result,as,kop,kepala,ekor
2019-10-20,6869,6,8,6,9
2019-10-21,0303,0,3,0,3
2019-10-22,4577,4,5,7,7
2019-10-23,0268,0,2,6,8
2019-10-24,4697,4,6,9,7
2019-10-25,2665,2,6,6,5
2019-10-26,7919,7,9,1,9
2019-10-27,2617,2,6,1,7
2019-10-28,1565,1,5,6,5
2019-10-29,5250,5,2,5,0
2019-10-30,8239,8,2,3,9
2019-10-31,6718,6,7,1,8
2019-11-01,3212,3,2,1,2
2019-11-02,7926,7,9,2,6
2019-11-03,5179,5,1,7,9
2019-11-04,4487,4,4,8,7
2019-11-05,4294,4,2,9,4
2019-11-06,9281,9,2,8,1
2019-11-07,4712,4,7,1,2
2019-11-08,9519,9,5,1,9
2019-11-09,8286,8,2,8,6
2019-11-10,3698,3,6,9,8
2019-11-11,5678,5,6,7,8
2019-11-12,5517,5,5,1,7
2019-11-13,7666,7,6,6,6
2019-11-14,5772,5,7,7,2
2019-11-15,8050,8,0,5,0
2019-11-16,3468,3,4,6,8
2019-11-17,5447,5,4,4,7
2019-11-18,3192,3,1,9,2
2019-11-19,0417,0,4,1,7
2019-11-20,3005,3,0,0,5
2019-11-21,9984,9,9,8,4
2019-11-22,5275,5,2,7,5
2019-11-23,2096,2,0,9,6
2019-11-24,7892,7,8,9,2
2019-11-25,3668,3,6,6,8
2019-11-26,7147,7,1,4,7
2019-11-27,0586,0,5,8,6
2019-11-28,5059,5,0,5,9
2019-11-29,3475,3,4,7,5
2019-11-30,6851,6,8,5,1
2019-12-01,0103,0,1,0,3
2019-12-02,9141,9,1,4,1
2019-12-03,2513,2,5,1,3
2019-12-04,0134,0,1,3,4
2019-12-05,2283,2,2,8,3
2019-12-06,3204,3,2,0,4
2019-12-07,9059,9,0,5,9
2019-12-08,2878,2,8,7,8
2019-12-09,8405,8,4,0,5
2019-12-10,9650,9,6,5,0
2019-12-11,7790,7,7,9,0
2019-12-12,1421,1,4,2,1
2019-12-13,1157,1,1,5,7
2019-12-14,8781,8,7,8,1
2019-12-15,7879,7,8,7,9
2019-12-16,1090,1,0,9,0
2019-12-17,7522,7,5,2,2
2019-12-18,5334,5,3,3,4
2019-12-19,7372,7,3,7,2
2019-12-20,7394,7,3,9,4
2019-12-21,9471,9,4,7,1
2019-12-22,3875,3,8,7,5
2019-12-23,0012,0,0,1,2
2019-12-24,2488,2,4,8,8
2019-12-25,8286,8,2,8,6
2019-12-26,0939,0,9,3,9
2019-12-27,6762,6,7,6,2
